<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;<VOL>
ВТБ ао;W;27/07/20;000000;0.038755;236784220000
ВТБ ао;W;03/08/20;000000;0.03672;483254530000
ВТБ ао;W;10/08/20;000000;0.03772;198702390000
ВТБ ао;W;17/08/20;000000;0.03636;137260630000
ВТБ ао;W;24/08/20;000000;0.03595;146633700000
ВТБ ао;W;31/08/20;000000;0.035335;139561900000
ВТБ ао;W;07/09/20;000000;0.03542;93797180000
ВТБ ао;W;14/09/20;000000;0.03549;118352930000
ВТБ ао;W;21/09/20;000000;0.034225;159744270000
ВТБ ао;W;28/09/20;000000;0.033835;105233720000
ВТБ ао;W;05/10/20;000000;0.033205;85298250000
ВТБ ао;W;12/10/20;000000;0.03202;83344400000
ВТБ ао;W;19/10/20;000000;0.034785;325594050000
ВТБ ао;W;26/10/20;000000;0.032665;155922830000
ВТБ ао;W;02/11/20;000000;0.033605;122952480000
ВТБ ао;W;09/11/20;000000;0.0366;376382430000
ВТБ ао;W;16/11/20;000000;0.036545;258881430000
ВТБ ао;W;23/11/20;000000;0.037765;296924820000
ВТБ ао;W;30/11/20;000000;0.037835;194093480000
ВТБ ао;W;07/12/20;000000;0.037945;166929490000
ВТБ ао;W;14/12/20;000000;0.03815;245621330000
ВТБ ао;W;21/12/20;000000;0.03795;147417250000
ВТБ ао;W;28/12/20;000000;0.037895;52889840000
ВТБ ао;W;04/01/21;000000;0.03894;117864320000
ВТБ ао;W;11/01/21;000000;0.03956;258311930000
ВТБ ао;W;18/01/21;000000;0.03737;169210370000
ВТБ ао;W;25/01/21;000000;0.036635;125376200000
ВТБ ао;W;01/02/21;000000;0.037885;119656790000
ВТБ ао;W;08/02/21;000000;0.037685;94527580000
ВТБ ао;W;15/02/21;000000;0.03731;110049660000
ВТБ ао;W;22/02/21;000000;0.037075;96980910000
ВТБ ао;W;01/03/21;000000;0.03759;117244920000
ВТБ ао;W;08/03/21;000000;0.038175;104905710000
ВТБ ао;W;15/03/21;000000;0.03785;122453200000
ВТБ ао;W;22/03/21;000000;0.03838;92296940000
ВТБ ао;W;29/03/21;000000;0.042855;377303800000
ВТБ ао;W;05/04/21;000000;0.04375;305011590000
ВТБ ао;W;12/04/21;000000;0.047475;258008030000
ВТБ ао;W;19/04/21;000000;0.05136;507969320000
ВТБ ао;W;26/04/21;000000;0.0516;379484100000
ВТБ ао;W;03/05/21;000000;0.052725;315595370000
ВТБ ао;W;10/05/21;000000;0.050075;371038030000
ВТБ ао;W;17/05/21;000000;0.045605;900541320000
ВТБ ао;W;24/05/21;000000;0.048395;510913710000
ВТБ ао;W;31/05/21;000000;0.048615;338480520000
ВТБ ао;W;07/06/21;000000;0.050405;284846120000
